ID;Diện tích;Khoảng giá;Số phòng ngủ;Số phòng tắm, vệ sinh;Pháp lý;Nội thất;Ngày hết hạn;Mặt tiền;Gần bệnh viện;Gần chợ;Gần trường học;Cao tầng;Quy hoạch;Phường;Quận;Giá m2
312;78,0;5,25;2;2;Hợp đồng mua bán;Không rõ;11-03-26;0;0;0;0;0;0;Phường Tân Hưng;Quận 7;0,067308
313;18,6;4,86;2;3;Sổ riêng;Full nội thất;18/03/2026;0;1;0;1;1;0;Phường 11;Quận 3;0,26129
314;66,0;4,1;2;1;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;0;0;Phường 11;Phú Nhuận;0,062121
315;71,3;10,7;7;3;Sổ riêng;Không rõ;13/03/2026;0;0;0;0;1;0;Phường Tân Hưng;Quận 7;0,15007
316;72,0;8,5;2;1;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 19;Bình Thạnh;0,118056
317;124,2;23,5;6;6;Sổ riêng;Full nội thất;13/03/2026;1;0;0;0;1;0;Phường 2;Tân Bình;0,189211
318;71,7;13,0;2;2;Sổ riêng;Full nội thất;06-03-26;0;0;0;0;0;0;Phường An Phú;Thủ Đức;0,181311
319;393,0;25,0;4;4;Sổ riêng;Không rõ;18/03/2026;0;0;1;0;0;0;Phường Trường Thọ;Thủ Đức;0,063613
320;90,0;6,09;3;2;Sổ riêng;Không rõ;14/03/2026;0;0;0;0;0;0;Phường Tân Thới Nhất;Quận 1;0,067667
321;322,0;16,25;4;4;Sổ riêng;Full nội thất;05-03-26;0;1;1;0;0;0;Phường Phú Thuận;Quận 7;0,050466
322;67,0;5,0;3;3;Sổ riêng;Không rõ;16/03/2026;0;0;0;0;1;0;Phường An Phú Đông;Quận 1;0,074627
323;100,0;24,5;4;4;Sổ riêng;Không rõ;09-03-26;1;0;0;0;0;0;Phường Bình Trưng Đông;Thủ Đức;0,245
324;59,0;3,5;2;1;Sổ riêng;Không rõ;09-03-26;0;0;0;0;0;0;Phường Phú Hữu;Thủ Đức;0,059322
325;52,0;9,5;2;2;Không rõ;Không rõ;17/03/2026;0;1;1;1;1;0;Phường 3;Phú Nhuận;0,182692
326;108,86;11,87;4;4;Sổ riêng;Full nội thất;01-05-26;1;0;1;1;1;0;Phường Hiệp Thành;Quận 1;0,109039
327;45,0;4,85;2;1;Sổ riêng;Không rõ;10-03-26;0;0;1;1;0;0;Phường 3;Bình Thạnh;0,107778
328;66,0;8,8;3;2;Sổ riêng;Full nội thất;15/03/2026;0;1;1;1;1;0;Phường 5;Phú Nhuận;0,133333
329;45,7;6,5;2;2;Sổ riêng;Không rõ;17/03/2026;0;0;1;0;1;0;Phường 11;Bình Thạnh;0,142232
330;100,0;11,5;3;2;Sổ riêng;Không rõ;09-03-26;0;0;0;0;0;0;Phường Bình Trưng Đông;Thủ Đức;0,115
331;80,0;3,5;2;2;Sổ riêng;Không rõ;18/03/2026;0;1;1;1;0;0;Phường Bình Thọ;Thủ Đức;0,04375
332;192,0;32,0;4;3;Hợp đồng mua bán;Full nội thất;18/03/2026;0;0;0;0;1;0;Phường An Lợi Đông;Thủ Đức;0,166667
333;86,8;16,8;4;5;Sổ riêng;Full nội thất;18/03/2026;0;0;1;0;1;0;Phường Đa Kao;Quận 1;0,193548
334;56,0;6,4;2;1;Sổ riêng;Không rõ;12-03-26;0;0;0;0;0;0;Phường Bình Trưng Đông;Thủ Đức;0,114286
335;60,0;3,5;2;1;Hợp đồng mua bán;Không rõ;09-03-26;0;0;0;0;0;0;Phường Bình Trưng Tây;Thủ Đức;0,058333
336;189,0;45,0;4;4;Không rõ;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 25;Bình Thạnh;0,238095
337;80,0;12,7;3;3;Sổ riêng;Không rõ;09-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,15875
338;95,0;13,0;4;3;Sổ riêng;Không rõ;09-03-26;1;1;1;1;1;1;Phường Bình Trưng Tây;Thủ Đức;0,136842
339;128,0;54,0;4;4;Không rõ;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 2;Tân Bình;0,421875
340;63,3;4,79;2;2;Sổ riêng;Không rõ;09-03-26;0;0;0;0;0;1;Phường Phú Hữu;Thủ Đức;0,075671
341;144,0;86,4;4;4;Sổ riêng;Không rõ;09-03-26;1;0;0;0;1;0;Phường Thạnh Mỹ Lợi;Thủ Đức;0,6
342;52,0;2,85;1;1;Sổ riêng;Nội thất cơ bản;18/03/2026;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,054808
343;65,0;3,5;2;2;Sổ riêng;Full nội thất;17/03/2026;0;0;0;0;0;0;Phường Phú Hữu;Thủ Đức;0,053846
